,country,grid_count,sum,max,mean,median
0,ABW,163,3304837608.9000006,144991914.91802746,16360582.22227723,7491735.148704641
1,AFG,899236,25549568116.69991,73211457.68100803,28346.04742545852,400.21074120448645
2,AGO,1491103,136478418178.65442,658198066.7526053,91479.66328729654,476.9652386258181
3,AIA,80,218765896.00000003,6158990.16013521,2278811.416666667,2311611.905656034
4,ALB,43299,43889459246.0,350934996.21714574,1002981.3123243218,2993.681172312229
5,AND,714,4179172426.7,228305066.935942,5853182.670448179,560057.4395325689
6,ARE,90527,920752848758.7001,427478241.4788398,10145477.921422511,38004.423124677254
7,ARG,3981578,1312600931340.1875,1667846539.276775,327096.2469533016,597.6680772918212
8,ARM,32388,37457691554.00003,290648722.670523,829976.9904057086,1987.865673478968
9,ASM,204,801975320.0,62951972.36524416,3730117.7674418604,1962221.4903060303
10,ATF,0,0.0,,,
11,ATG,542,1095937305.9,47790045.17055789,1999885.5947080294,259950.0279515337
12,AUS,9695791,5892464228240.523,4838950668.993186,588003.9117581162,7.370098149509406
13,AUT,144195,1768546026068.8005,1826287192.3296974,12228071.811303329,83392.545978254
14,AZE,129937,154262482419.09995,872446937.8792478,1172715.2521920584,12679.995120381367
15,BDI,29264,4239830069.6999993,327775812.17768955,133778.12355094182,14999.915596273671
16,BEL,56051,1919021711359.6,4056856956.925696,34191923.58769889,4838019.387128335
17,BEN,137359,11138792866.3,132832018.70725666,80869.4250410199,1411.2468984709467
18,BFA,326329,24879607571.399998,70280575.06325983,76205.61005697133,2482.0023646194268
19,BGD,173596,440604099098.7,1999922982.989145,2521498.343808194,65362.55184578053
20,BGR,178384,135073246467.70004,344520588.66675097,756293.4085168452,13754.68860016595
21,BHR,755,84338679899.6,835965080.7451434,111559100.3962963,22713698.674598813
22,BHS,15518,8409399030.999996,59584962.81315023,522647.54698570515,275.8958602996255
23,BIH,64935,42615611853.700005,676583072.5759348,655624.7977492309,24255.77724390235
24,BLM,29,318046200.0,42226431.97056679,10259554.838709677,5849811.909997996
25,BLR,404193,255110357166.19995,362821516.4454362,629948.7793322961,2763.8835364986603
26,BLZ,27054,3489440303.5,17031241.33371765,128010.57645181408,24577.798201623817
27,BMU,90,6951754060.399999,247705572.0780034,77241711.78222221,54872898.35478009
28,BOL,1303533,56441783703.19772,60449818.93222441,42509.18558257941,122.77204786572754
29,BRA,9297064,5329289049538.371,1451126024.4669394,523389.91440778936,83.69022967674313
30,BRB,526,3229439513.0,32089127.46295929,6047639.537453184,3147039.830512692
31,BRN,6678,15022945723.799997,288880213.97002834,2240892.8585620522,547.2022290747102
32,BTN,52883,2443117528.8999996,40382028.44063428,46046.16700403331,1560.6204238222451
33,BWA,722076,35640820343.60039,218502391.32029295,48782.94599452558,817.9750389223102
34,CAF,727882,9424970207.800146,966773189.1583576,12948.30855099403,404.4342762101312
