"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"1",10001,"1984-11-23",0.0019167,0.006144,0.0466188,91,"sim"
"2",10002,"1984-11-23",0.0021185,0.0065109,0.045537,92,"sim"
"3",10003,"1984-11-23",0.0021185,0.0065109,0.045537,92,"sim"
"4",10004,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"5",10005,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"6",10006,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"7",10007,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"8",10008,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"9",10009,"1984-11-23",0.0030707,0.0100797,0.0570405,94,"sim"
"10",10010,"1984-11-23",0.0380132,0.0935694,0.287834,92,"sim"
"11",10011,"1984-11-23",0.0380132,0.0935694,0.287834,92,"sim"
"12",10018,"1984-11-23",0.02643,0.0595708,0.1947493,94,"sim"
"13",10019,"1984-11-23",0.0094506,0.0255876,0.1491861,93,"sim"
"14",10020,"1984-11-23",0.0490993,0.0900594,0.2385378,96,"sim"
"15",10021,"1984-11-23",0.0058958,0.0183751,0.1479943,91,"sim"
"16",10022,"1984-11-23",0.1768552,0.2738936,0.5176498,98,"sim"
"17",10023,"1984-11-23",0.0080583,0.0248974,0.1749445,92,"sim"
"18",10028,"1984-11-23",0.0115192,0.0328769,0.2088037,90,"sim"
"19",10101,"1986-01-20",0.1044513,0.1734315,0.3880858,101,"sim"
"20",10102,"1986-01-20",0.239764,0.3286673,0.6269032,104,"sim"
"21",10103,"1986-01-20",0.0884337,0.1379521,0.3515898,99,"sim"
"22",10104,"1986-01-20",0.3308527,0.4302508,0.6930211,106,"sim"
"23",10105,"1986-01-20",0.1047275,0.1683694,0.354054,100,"sim"
"24",10106,"1986-01-20",0.0090441,0.0321737,0.2620453,94,"sim"
"25",10107,"1986-01-20",0.0071118,0.0295159,0.2265439,92,"sim"
"26",10108,"1986-01-20",0.0320828,0.0842565,0.3306841,95,"sim"
"27",10109,"1986-01-20",0.0067882,0.0283687,0.1971681,90,"sim"
"28",10110,"1986-01-20",0.2148437,0.3476604,0.8881206,97,"sim"
"29",10111,"1986-01-20",0.0091756,0.0292091,0.2205354,91,"sim"
"30",10112,"1986-01-20",0.2778318,0.4255054,0.7571553,100,"sim"
"31",10113,"1986-01-20",0.0235246,0.0385296,0.0797591,101,"sim"
"32",10114,"1986-01-20",0.28146,0.4505116,0.8960205,102,"sim"
"33",10115,"1986-01-20",0.0122041,0.0253702,0.0592053,99,"sim"
"34",10116,"1986-01-20",0.4770247,0.7149175,1.14979,104,"sim"
"35",10117,"1986-01-20",0.0207468,0.0375923,0.0765618,100,"sim"
"36",10118,"1986-01-20",0.3920609,0.5128005,0.7372008,100,"sim"
"37",10119,"1986-01-20",0.1830781,0.2865111,0.5321056,98,"sim"
"38",10120,"1986-01-20",0.4757566,0.6410002,0.9808139,101,"sim"
"39",10121,"1986-01-20",0.1563054,0.2411698,0.4117784,96,"sim"
"40",10122,"1986-01-20",0.6259822,0.8233793,1.1593619,101,"sim"
"41",10123,"1986-01-20",0.1782377,0.2642669,0.4362747,97,"sim"
"42",10124,"1986-01-20",0.3096154,0.4401681,0.8898644,102,"sim"
"43",10125,"1986-01-20",0.2416332,0.3587249,0.7493149,101,"sim"
"44",10126,"1986-01-20",0.3701589,0.5179351,0.8195747,104,"sim"
"45",10127,"1986-01-20",0.1821827,0.2732916,0.509249,99,"sim"
"46",10128,"1986-01-20",0.4610694,0.6215528,1.0013237,106,"sim"
"47",10129,"1986-01-20",0.2135683,0.3447306,0.7422719,100,"sim"
"48",10201,"1986-03-25",0.5500768,0.6708411,0.9420436,101,"sim"
"49",10202,"1986-03-25",0.9316822,1.169006,1.5611078,102,"sim"
"50",10203,"1986-03-25",0.1787199,0.2303673,0.3228164,100,"sim"
"51",10204,"1986-03-25",1.207292,1.5048029,1.9527773,104,"sim"
