,country,region_id,cal_region2,year,name,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,ratio,log_ratio,unique_ID,Surge,Rain,Flood,Slide
1,PHL,608,WP2,2013,Haiyan (Yolanda),2013-0433,2013306N07162,10000000000,2014,10468973696,1803815584,25.7,84.7,1,0.172301091,-1.758511806,2013-0433PHL,TRUE,FALSE,FALSE,FALSE
2,PHL,608,WP2,1988,Skip (Yoning),1988-0506,1988308N09140,149060000,2014,1119695812,182189871.4,25.7,84.7,1,0.162713721,-1.815762938,1988-0506PHL,FALSE,FALSE,FALSE,FALSE
3,PHL,608,WP2,2012,Bopha,2012-0500,2012331N03157,898352000,2014,1022251732,1060346812,25.7,84.7,1,1.037265851,0.036588261,2012-0500PHL,FALSE,FALSE,FALSE,FALSE
4,PHL,608,WP2,2009,Pepeng (Parma),2009-0422,2009270N10148,585379000,2014,989634942.4,22709945.78,25.7,84.7,1,0.022947801,-3.774533161,2009-0422PHL,FALSE,FALSE,TRUE,TRUE
5,PHL,608,WP2,1993,Flo (Kadiang),1993-0077,1993271N14134,188000000,2014,984067975.5,120218438.7,25.7,84.7,1,0.122164771,-2.102384565,1993-0077PHL,FALSE,FALSE,FALSE,FALSE
6,PHL,608,WP2,1995,Angela (Rosing),1995-0271,1995293N05177,244000000,2014,936840738.5,1.56753E+11,25.7,84.7,1,167.320882,5.119913418,1995-0271PHL,FALSE,FALSE,FALSE,FALSE
7,PHL,608,WP2,1980,Betty (Aring),1980-0099,1980296N05165,102300000,2014,897149786.7,173422364.8,25.7,84.7,1,0.193303691,-1.6434928,1980-0099PHL,FALSE,FALSE,FALSE,FALSE
8,PHL,608,WP2,1984,Agnes (Undang),1984-0105,1984302N00149,96600000,2014,875268514.8,173628292.7,25.7,84.7,1,0.198371459,-1.617613948,1984-0105PHL,FALSE,FALSE,FALSE,FALSE
9,PHL,608,WP2,2014,Rammasun (Glenda),2014-0227,2014190N08154,820576000,2014,820576000,39527536571,25.7,84.7,1,48.17047607,3.874746304,2014-0227PHL,FALSE,FALSE,TRUE,TRUE
10,PHL,608,WP2,1991,Ruth (Trining),1991-0382,1991289N06156,90000000,2014,563936202.8,95056526.06,25.7,84.7,1,0.168559006,-1.780469404,1991-0382PHL,FALSE,FALSE,FALSE,FALSE
11,PHL,608,WP2,1987,Nina (Sisang),1987-0212,1987320N03171,56000000,2014,480080890.5,5643083560,25.7,84.7,1,11.7544432,2.464231314,1987-0212PHL,FALSE,FALSE,FALSE,FALSE
