region,climada_median,climada_Q3,climada_Q1,climada_RMSF,climada_tot,climada_def,emdat,climada_median_std,climada_Q3_std,climada_Q1_std,climada_RMSF_std,climada_tot_std,climada_def_std,emdat_std
NA1,10268818664,2919117196,32985455383,10268818664,6938586048,4442022940,5339356933,16081294381,5503018501,39602572035,16081294381,11678597387,7989912203,14195000462
NA2,17295028839,7236490113,40929067292,22396504776,19372161002,39499136744,19698347054,25201227616,10662863250,58419930647,32471388213,28168989484,56440296327,43111421874
NI,4977755857,2382873872,26745915356,8638406853,4059820205,3274566087,2347848890,8124335864,3945928522,42210741437,13945666598,6654774558,5391081499,3756394827
OC,1913563753,336952620.1,8221250616,2633903435,1061384127,601467420.8,651043219.6,2695984893,543690835.6,11596883099,3581954483,1595104739,944365606.4,831529358.7
SI,411078133.9,82262511.86,1518958548,250748420.1,140840195.4,27043630.86,146513721.4,1072909097,203798401,4049151949,645136157.3,355259804,65144814.74,320546985.7
WP1,1826951527,530218755.7,8391914174,2184153265,1053435544,625086529.6,718174589.3,2836655571,823949772.6,12811115163,3389633016,1636812603,971377938.5,1195826390
WP2,12450390422,833039993.1,78092286609,14027491961,828503797,21763985751,1099193247,31120128773,2292901598,1.37528E+11,34640363616,2280507412,50814386183,1777283162
WP3,24424744161,4902778408,1.76603E+11,32898407056,8557858537,44086653482,11943461915,29231554870,5876106934,2.12819E+11,39365839892,10252638224,52756025710,14768741789
WP4,7425002613,1731608323,68578998197,21902941468,6552784948,2.22225E+11,3016134164,8248912391,1924567780,75858290360,24307674061,7280378969,2.43263E+11,3982135106
GLB,1.2712E+11,28952987273,7.73734E+11,1.86214E+11,65557957230,6.25245E+11,61737037649,1.01906E+11,18654969461,5.85669E+11,1.3288E+11,39593046627,5.05131E+11,62071878516
GLB_all,86626512374,22082569318,4.76055E+11,1.20887E+11,50597178084,3.39994E+11,46346698334,57461562946,14404168560,3.06505E+11,73857476340,33615927606,2.54163E+11,55648330313
