country,region_id,cal_region2,year,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,log_ratio,unique_ID,ratio
ATG,28,NA1,2010,2010-0468,2010236N12341,12600000.0,2014,13945942.61,481761.9213518903,25.7,74.7000000000007,1.0,-3.365493839695486,2010-0468ATG,0.034544952236246894
ATG,28,NA1,2017,2017-0381,2017242N16333,250000000.0,2014,211176356.8,90265385.50355598,25.7,74.7000000000007,1.0,-0.8499395394186606,2017-0381ATG,0.42744077448520496
ATG,28,NA1,1989,1989-0115,1989254N13340,80000000.0,2014,232560060.9,33194625.30151781,25.7,74.7000000000007,1.0,-1.946760543809907,1989-0115ATG,0.14273570953265008
ATG,28,NA1,1995,1995-0192,1995240N11337,350000000.0,2014,773370483.3,104172108.20843188,25.7,74.7000000000007,1.0,-2.004713795643528,1995-0192ATG,0.13469884157451384
BHS,44,NA1,2015,2015-0479,2015270N27291,90000000.0,2014,83627197.41,89086.19818379004,25.7,74.7000000000007,1.0,-6.8445196540966755,2015-0479BHS,0.001065277815625294
BHS,44,NA1,2011,2011-0328,2011233N15301,40000000.0,2014,43522583.4,8256986.299622823,25.7,74.7000000000007,1.0,-1.662220295809136,2011-0328BHS,0.18971728363952822
BHS,44,NA1,2004,2004-0455,2004238N11325,1000000000.0,2014,1210044074.0,46289200.61436215,25.7,74.7000000000007,1.0,-3.263503376905114,2004-0455BHS,0.03825414429851763
BHS,44,NA1,2001,2001-0671,2001303N13276,300000000.0,2014,395198026.4,17695377.276870385,25.7,74.7000000000007,1.0,-3.1060835372636495,2001-0671BHS,0.044775975826761835
BHS,44,NA1,1999,1999-0327,1999251N15314,450000000.0,2014,641705937.2,42976154.8576677,25.7,74.7000000000007,1.0,-2.7034847333256318,1999-0327BHS,0.06697172702685054
BHS,44,NA1,2017,2017-0381,2017242N16333,2000000.0,2014,1801876.321,25479.180740342792,25.7,74.7000000000007,1.0,-4.258722124378344,2017-0381BHS,0.01414036049166928
BHS,44,NA1,1995,1995-0404,1995212N22287,400000.0,2014,1278191.893,717078.4135931174,25.7,74.7000000000007,1.0,-0.5780165766140273,1995-0404BHS,0.5610099841191196
BLZ,84,NA1,2001,2001-0553,2001278N12302,250000000.0,2014,485443358.1,35127860.45772349,25.7,74.7000000000007,1.0,-2.626068052921013,2001-0553BLZ,0.07236242884280486
BLZ,84,NA1,2007,2007-0360,2007225N12331,14847000.0,2014,19476548.08,130859382.84898286,25.7,74.7000000000007,1.0,1.9049122540872696,2007-0360BLZ,6.718818052946417
BMU,60,NA1,2003,2003-0448,2003240N15329,300000000.0,2014,399403562.6,1621841457.5653074,25.7,74.7000000000007,1.0,1.4013451440486948,2003-0448BMU,4.060658465356681
BMU,60,NA1,1987,1987-0164,1987263N10309,50000000.0,2014,214952184.2,72012629.77437632,25.7,74.7000000000007,1.0,-1.09357408715765,1987-0164BMU,0.3350169715296911
CPV,132,NA1,2015,2015-0473,2015242N12343,1100000.0,2014,1281242.483,1176794.089556742,25.7,74.7000000000007,1.0,-0.08503642913854106,2015-0473CPV,0.9184788243996604
CUB,192,NA1,2005,2005-0351,2005186N12299,1400000000.0,2014,2647941893.0,3697007460.9046,25.7,74.7000000000007,1.0,0.3337410039465793,2005-0351CUB,1.3961814912471722
CUB,192,NA1,2008,2008-0384,2008245N17323,1500000000.0,2014,1989662255.0,2891684211.8451552,25.7,74.7000000000007,1.0,0.37387420141667294,2008-0384CUB,1.4533543090433483
CUB,192,NA1,2004,2004-0415,2004223N11301,1000000000.0,2014,2111247808.0,7939741169.457262,25.7,74.7000000000007,1.0,1.3246015255307273,2004-0415CUB,3.760686518831077
CUB,192,NA1,2017,2017-0381,2017242N16333,13200000000.0,2014,10992753818.0,304344732.9958712,25.7,74.7000000000007,1.0,-3.586830541852193,2017-0381CUB,0.02768594094207079
CUB,192,NA1,2008,2008-0352,2008238N13293,2072000000.0,2014,2748386795.0,245108955.944071,25.7,74.7000000000007,1.0,-2.4170665687057964,2008-0352CUB,0.08918284587525498
DMA,212,NA1,2017,2017-0383,2017260N12310,1456000000.0,2014,1534596212.0,250641879.62794223,25.7,74.7000000000007,1.0,-1.8119974254155025,2017-0383DMA,0.16332757611938
DMA,212,NA1,2007,2007-0360,2007225N12331,20000000.0,2014,24849111.57,2163894.473345349,25.7,74.7000000000007,1.0,-2.440912405025909,2007-0360DMA,0.08708136173197395
DMA,212,NA1,1989,1989-0115,1989254N13340,20000000.0,2014,56557045.94,1938695.0530411245,25.7,74.7000000000007,1.0,-3.3732346977696817,1989-0115DMA,0.034278576980449775
DOM,214,NA1,2011,2011-0328,2011233N15301,30000000.0,2014,34283168.75,2038640.9500724275,25.7,74.7000000000007,1.0,-2.822371141837951,2011-0328DOM,0.05946477599368429
DOM,214,NA1,2017,2017-0383,2017260N12310,63000000.0,2014,54813712.03,3710761.7647198746,25.7,74.7000000000007,1.0,-2.6927031992195225,2017-0383DOM,0.06769769145882591
HND,340,NA1,2007,2007-0439,2007244N12303,6579000.0,2014,10588404.38,13946819.061933355,25.7,74.7000000000007,1.0,0.2754919821030183,2007-0439HND,1.317178543754612
JAM,388,NA1,2005,2005-0351,2005186N12299,30000000.0,2014,37089462.6,116159528.1627312,25.7,74.7000000000007,1.0,1.1416315867923605,2005-0351JAM,3.1318741232646277
JAM,388,NA1,2004,2004-0415,2004223N11301,300000000.0,2014,409384949.8,8756094.997235192,25.7,74.7000000000007,1.0,-3.8449058819600586,2004-0415JAM,0.02138841450207897
JAM,388,NA1,2007,2007-0360,2007225N12331,300000000.0,2014,323956910.3,3863025898.6598186,25.7,74.7000000000007,1.0,2.4785955528838297,2007-0360JAM,11.924505314865693
JAM,388,NA1,2012,2012-0410,2012296N14283,16542000.0,2014,15483975.86,332356351.3324102,25.7,74.7000000000007,1.0,3.066402066992309,2012-0410JAM,21.46453561652674
JAM,388,NA1,2008,2008-0352,2008238N13293,66198000.0,2014,67028878.91,190540346.1405669,25.7,74.7000000000007,1.0,1.0447404078740627,2008-0352JAM,2.8426604955814097
KNA,659,NA1,2017,2017-0381,2017242N16333,20000000.0,2014,18484889.46,75442788.93886885,25.7,74.7000000000007,1.0,1.4064209942219006,2017-0381KNA,4.081322157869634
KNA,659,NA1,1989,1989-0115,1989254N13340,46000000.0,2014,219073474.2,25571606.35729121,25.7,74.7000000000007,1.0,-2.147924562898516,1989-0115KNA,0.11672616436413465
LCA,662,NA1,2010,2010-0571,2010302N09306,500000.0,2014,548667.5019,4161146.4969230974,25.7,74.7000000000007,1.0,2.0260533006422197,2010-0571LCA,7.5840950712650494
LCA,662,NA1,2007,2007-0360,2007225N12331,40000000.0,2014,47496877.29,22007266.00993932,25.7,74.7000000000007,1.0,-0.7692912956071908,2007-0360LCA,0.4633413240110573
MEX,484,NA1,2014,2014-0333,2014253N13260,2500000000.0,2014,2500000000.0,1599139754.73871,25.7,74.7000000000007,1.0,-0.44682490050408263,2014-0333MEX,0.6396559018954839
MEX,484,NA1,2016,2016-0319,2016248N15255,50000000.0,2014,60984824.31,227594056.3021022,25.7,74.7000000000007,1.0,1.316938535826844,2016-0319MEX,3.731978551667032
MEX,484,NA1,2009,2009-0384,2009239N12270,40000000.0,2014,58422121.35,23905931.80093804,25.7,74.7000000000007,1.0,-0.8935679877003284,2009-0384MEX,0.4091931489053682
MEX,484,NA1,2015,2015-0470,2015293N13266,823000000.0,2014,924242990.8,3139813641.857197,25.7,74.7000000000007,1.0,1.2229437132884708,2015-0470MEX,3.397173333323803
MEX,484,NA1,2010,2010-0494,2010257N16282,3900000000.0,2014,4846656451.0,2161067741.2619524,25.7,74.7000000000007,1.0,-0.807686651447178,2010-0494MEX,0.44588836925218084
MEX,484,NA1,1995,1995-0256,1995281N14278,1500000000.0,2014,5476225576.0,83304549.95040977,25.7,74.7000000000007,1.0,-4.185668210197329,1995-0256MEX,0.015212037706317044
MEX,484,NA1,2005,2005-0585,2005289N18282,5000000000.0,2014,7490595958.0,1634364964.1613376,25.7,74.7000000000007,1.0,-1.522394033742639,2005-0585MEX,0.21818890957745843
MEX,484,NA1,2012,2012-0276,2012215N12313,300000000.0,2014,328342750.7,118207202.60209917,25.7,74.7000000000007,1.0,-1.0216189955922228,2012-0276MEX,0.36001161088554884
MEX,484,NA1,2006,2006-0505,2006257N16259,2700000.0,2014,3638886.137,768991655.3425838,25.7,74.7000000000007,1.0,5.353402489636253,2006-0505MEX,211.32611090067306
MEX,484,NA1,1997,1997-0243,1997279N12263,447800000.0,2014,1176350687.0,713166197.9132428,25.7,74.7000000000007,1.0,-0.5004577973321117,1997-0243MEX,0.606253055142937
MEX,484,NA1,2005,2005-0382,2005192N11318,400000000.0,2014,599247676.6,521111471.04010135,25.7,74.7000000000007,1.0,-0.13971102132801186,2005-0382MEX,0.8696094976901264
MEX,484,NA1,1982,1982-0105,1982262N12270,82400000.0,2014,586753507.8,893463892.4325285,25.7,74.7000000000007,1.0,0.42050110933493623,1982-0105MEX,1.522724415883805
MEX,484,NA1,2017,2017-0334,2017219N16279,2000000.0,2014,2284434.574,33814557.63085639,25.7,74.7000000000007,1.0,2.6947728663809194,2017-0334MEX,14.802156304108006
MEX,484,NA1,2008,2008-0304,2008203N18276,75000000.0,2014,88822764.83,135270907.75751957,25.7,74.7000000000007,1.0,0.42063651394540996,2008-0304MEX,1.5229306137499523
MEX,484,NA1,2010,2010-0260,2010176N16278,2000000000.0,2014,2485464847.0,242961271.51533568,25.7,74.7000000000007,1.0,-2.325312928045305,2010-0260MEX,0.09775284965651163
MEX,484,NA1,2011,2011-0385,2011279N10257,27700000.0,2014,30846033.58,54937011.01024426,25.7,74.7000000000007,1.0,0.577179103633675,2011-0385MEX,1.7810073009148382
MEX,484,NA1,2002,2002-0669,2002295N11261,200000000.0,2014,340513691.7,535008158.17522126,25.7,74.7000000000007,1.0,0.4518266603515592,2002-0669MEX,1.5711795772563975
MEX,484,NA1,1995,1995-0207,1995256N15253,800000000.0,2014,2920653641.0,69388385.35214469,25.7,74.7000000000007,1.0,-3.7398432244006865,1995-0207MEX,0.02375782748699598
MEX,484,NA1,2007,2007-0360,2007225N12331,600000000.0,2014,749255406.1,4181349808.214828,25.7,74.7000000000007,1.0,1.7193094724972915,2007-0360MEX,5.580673524905819
MEX,484,NA1,1990,1990-0393,1990216N13281,90700000.0,2014,456380159.7,154630645.32276252,25.7,74.7000000000007,1.0,-1.0822868059324624,1990-0393MEX,0.3388198238600216
MEX,484,NA1,1992,1992-0342,1992233N16254,3000000.0,2014,10859450.34,699458.9303354467,25.7,74.7000000000007,1.0,-2.742483899452635,1992-0342MEX,0.06441015967070086
MEX,484,NA1,1988,1988-0430,1988253N12306,76000000.0,2014,550112928.0,10797541716.348736,25.7,74.7000000000007,1.0,2.9769501875597415,1988-0430MEX,19.627863965321563
MEX,484,NA1,2003,2003-0474,2003262N17254,100000000.0,2014,180241122.2,51963152.75222509,25.7,74.7000000000007,1.0,-1.243760655761142,2003-0474MEX,0.2882979872626708
MEX,484,NA1,2012,2012-0401,2012166N09269,555000000.0,2014,607434088.9,61865741.29555649,25.7,74.7000000000007,1.0,-2.284277099625809,2012-0401MEX,0.1018476612130691
MSR,500,NA1,1989,1989-0115,1989254N13340,240000000.0,2014,240000000.0,13607257.922498845,25.7,74.7000000000007,1.0,-2.870035602179614,1989-0115MSR,0.05669690801041185
MSR,500,NA1,1995,1995-0192,1995240N11337,20000000.0,2014,20000000.0,92508.12296124807,25.7,74.7000000000007,1.0,-5.376191096076053,1995-0192MSR,0.004625406148062404
NIC,558,NA1,1988,1988-0481,1988285N09318,400000000.0,2014,1806289799.0,29332673.72593822,25.7,74.7000000000007,1.0,-4.120328146724913,1988-0481NIC,0.016239184732249168
PRI,630,NA1,2011,2011-0328,2011233N15301,500000000.0,2014,510433804.3,38584701.49856293,25.7,74.7000000000007,1.0,-2.582405097157209,2011-0328PRI,0.07559197916266011
PRI,630,NA1,2017,2017-0383,2017260N12310,68000000000.0,2014,67009049565.0,36854473996.22833,25.7,74.7000000000007,1.0,-0.597850656114956,2017-0383PRI,0.5499924896036441
PRI,630,NA1,1996,1996-0201,1996248N15319,500000000.0,2014,1129729966.0,419465923.8866163,25.7,74.7000000000007,1.0,-0.9907516227054963,1996-0201PRI,0.37129751047660203
TCA,796,NA1,2008,2008-0384,2008245N17323,500000000.0,2014,500000000.0,5685603.217579016,25.7,74.7000000000007,1.0,-4.476670869974571,2008-0384TCA,0.011371206435158033
TCA,796,NA1,2017,2017-0381,2017242N16333,500000000.0,2014,500000000.0,123211797.20642865,25.7,74.7000000000007,1.0,-1.4007032953614507,2017-0381TCA,0.2464235944128573
TTO,780,NA1,2004,2004-0462,2004247N10332,1000000.0,2014,2048171.488,2137848.458734856,25.7,74.7000000000007,1.0,0.04285249212580394,2004-0462TTO,1.0437839171476915
VCT,670,NA1,2010,2010-0571,2010302N09306,25000000.0,2014,26706058.15,1791649.023227847,25.7,74.7000000000007,1.0,-2.7017539988763235,2010-0571VCT,0.06708773766479076
VGB,92,NA1,2017,2017-0381,2017242N16333,3000000000.0,2014,3000000000.0,316687851.20809627,25.7,74.7000000000007,1.0,-2.2484509754094955,2017-0381VGB,0.10556261706936543
VGB,92,NA1,1996,1996-0325,1996187N10326,2000000.0,2014,2000000.0,33189074.08124639,25.7,74.7000000000007,1.0,2.809073547260842,1996-0325VGB,16.594537040623194
VIR,850,NA1,1989,1989-0115,1989254N13340,21800000.0,2014,58754072.56,954436947.732998,25.7,74.7000000000007,1.0,2.7877611122904127,1989-0115VIR,16.24460920148678
CHN,156,WP3,1994,1994-0163,1994186N09139,96300000.0,2014,1788779559.0,17785595386.56821,25.7,74.7000000000007,1.0,2.296855305034976,1994-0163CHN,9.942865959688781
CHN,156,WP3,1993,1993-0466,1993298N11154,15890000.0,2014,374529293.1,4199610.197994031,25.7,74.7000000000007,1.0,-4.490678308143157,1993-0466CHN,0.011213035336258004
CHN,156,WP3,2010,2010-0543,2010285N13145,420000000.0,2014,721663688.8,141071249.54056007,25.7,74.7000000000007,1.0,-1.6322941467462488,2010-0543CHN,0.19548059813725255
CHN,156,WP3,2013,2013-0306,2013228N23124,376000000.0,2014,410250840.0,1961808634.5943122,25.7,74.7000000000007,1.0,1.5648533219836256,2013-0306CHN,4.78197347406848
CHN,156,WP3,1994,1994-0138,1994153N19113,700000.0,2014,13002551.31,272507183.81858724,25.7,74.7000000000007,1.0,3.0425193835713245,1994-0138CHN,20.95797796306387
CHN,156,WP3,2013,2013-0272,2013220N12137,2120000000.0,2014,2313116438.0,2125474762.0819604,25.7,74.7000000000007,1.0,-0.08460052779259541,2013-0272CHN,0.9188792778281922
CHN,156,WP3,2010,2010-0484,2010256N17137,298285000.0,2014,512527270.1,1258728606.2936044,25.7,74.7000000000007,1.0,0.8985035283469907,2010-0484CHN,2.455925137501487
CHN,156,WP3,2003,2003-0594,2003316N11141,196938000.0,2014,1243385148.0,233289290.24969703,25.7,74.7000000000007,1.0,-1.6733136246101543,2003-0594CHN,0.18762431787523412
CHN,156,WP3,2007,2007-0457,2007257N16134,638000000.0,2014,1882716826.0,6319413706.799439,25.7,74.7000000000007,1.0,1.210910582070773,2007-0457CHN,3.3565396662575107
CHN,156,WP3,1996,1996-0168,1996203N12152,72000000.0,2014,873787160.8,19979306005.06173,25.7,74.7000000000007,1.0,3.129615494231054,1996-0168CHN,22.865186056029458
CHN,156,WP3,2008,2008-0426,2008262N16142,824000000.0,2014,1878444430.0,22912244825.5278,25.7,74.7000000000007,1.0,2.5012274727119164,2008-0426CHN,12.197456820975962
CHN,156,WP3,2005,2005-0492,2005237N14148,1900000000.0,2014,8712512761.0,56931549.92901399,25.7,74.7000000000007,1.0,-5.030665851980994,2005-0492CHN,0.006534458139775457
CHN,156,WP3,2007,2007-0552,2007274N18131,1077788000.0,2014,3180516618.0,10401268.855317324,25.7,74.7000000000007,1.0,-5.72287111704558,2007-0552CHN,0.003270307973381362
CHN,156,WP3,2013,2013-0258,2013178N09133,177000000.0,2014,193123400.7,550161262.6324542,25.7,74.7000000000007,1.0,1.0468820735840016,2013-0258CHN,2.848755048007262
CHN,156,WP3,2005,2005-0540,2005262N13127,1040000000.0,2014,4768954354.0,624471817.9705162,25.7,74.7000000000007,1.0,-2.0329761456554927,2005-0540CHN,0.13094522857966448
CHN,156,WP3,1990,1990-0402,1990235N10152,688000000.0,2014,19985350911.0,35001690372.61999,25.7,74.7000000000007,1.0,0.5603968059555795,1990-0402CHN,1.7513673154147595
CHN,156,WP3,1997,1997-0168,1997210N15120,579700000.0,2014,6319265945.0,26791711225.214302,25.7,74.7000000000007,1.0,1.4444895035677803,1997-0168CHN,4.2396872450688265
CHN,156,WP3,2006,2006-0410,2006209N13130,900000000.0,2014,3427937205.0,83840571.8391862,25.7,74.7000000000007,1.0,-3.7107969201380597,2006-0410CHN,0.024458024410976983
CHN,156,WP3,2003,2003-0346,2003196N04150,100000000.0,2014,631358675.5,6267934649.565843,25.7,74.7000000000007,1.0,2.2953280523993027,2003-0346CHN,9.927692281415151
CHN,156,WP3,2017,2017-0281,2017195N16114,3600000.0,2014,3083629.94,583027.6265597594,25.7,74.7000000000007,1.0,-1.6656281618457816,2017-0281CHN,0.18907185294736092
CHN,156,WP3,2000,2000-0533,2000230N08139,69443000.0,2014,600923967.1,102205499385.46733,25.7,74.7000000000007,1.0,5.136272349454818,2000-0533CHN,170.08058420219288
CHN,156,WP3,2012,2012-0406,2012296N06135,197000000.0,2014,241226084.0,36230441.06871109,25.7,74.7000000000007,1.0,-1.8958349226639084,2012-0406CHN,0.15019288324023486
CHN,156,WP3,2005,2005-0565,2005268N19146,150000000.0,2014,687829954.8,17240867875.755074,25.7,74.7000000000007,1.0,3.2214962351080243,2005-0565CHN,25.06559616288912
CHN,156,WP3,1999,1999-0625,1999230N12129,18000000.0,2014,172470904.3,60115095542.395325,25.7,74.7000000000007,1.0,5.853787711214522,1999-0625CHN,348.552098027095
CHN,156,WP3,2008,2008-0369,2008229N13147,58000000.0,2014,132220603.1,214667456.99991292,25.7,74.7000000000007,1.0,0.4846183558738851,2008-0369CHN,1.6235552702596387
CHN,156,WP3,2010,2010-0308,2010191N12138,500000.0,2014,859123.4391,602437980.7258487,25.7,74.7000000000007,1.0,6.552827389902427,2010-0308CHN,701.2240072939347
CHN,156,WP3,2015,2015-0490,2015273N12130,4200000000.0,2014,3978968885.0,28748699577.029118,25.7,74.7000000000007,1.0,1.9775698225067762,2015-0490CHN,7.225163203815583
CHN,156,WP3,2015,2015-0278,2015183N13130,213000000.0,2014,201790564.9,5059526347.081173,25.7,74.7000000000007,1.0,3.221797798485022,2015-0278CHN,25.073156168567586
CHN,156,WP3,2006,2006-0251,2006128N09138,475000000.0,2014,1809189080.0,5487107687.566862,25.7,74.7000000000007,1.0,1.1095225610440635,2006-0251CHN,3.032910019314765
CHN,156,WP3,2012,2012-0282,2012215N23146,1500000000.0,2014,1836746833.0,397145590.9528238,25.7,74.7000000000007,1.0,-1.5314483189578758,2012-0282CHN,0.21622228159999438
CHN,156,WP3,1993,1993-0464,1993253N06150,263670000.0,2014,6214734972.0,3424052702.062772,25.7,74.7000000000007,1.0,-0.5960982306524166,1993-0464CHN,0.5509571554522553
CHN,156,WP3,1986,1986-0081,1986179N11175,380000000.0,2014,13244203233.0,1353562040.1469965,25.7,74.7000000000007,1.0,-2.2808202990057307,1986-0081CHN,0.10220033748609243
CHN,156,WP3,2014,2014-0390,2014254N10142,2900000000.0,2014,2900000000.0,3733826287.654445,25.7,74.7000000000007,1.0,0.25272278525983305,2014-0390CHN,1.2875263060877398
CHN,156,WP3,2011,2011-0379,2011266N13139,219000000.0,2014,303152614.2,265047370.37663555,25.7,74.7000000000007,1.0,-0.13432778978479884,2011-0379CHN,0.8743034298948017
CHN,156,WP3,2017,2017-0352,2017232N19130,3500000000.0,2014,2997973553.0,40808961769.99446,25.7,74.7000000000007,1.0,2.6109651304218744,2017-0352CHN,13.612182045154439
CHN,156,WP3,2012,2012-0259,2012201N15129,329000000.0,2014,402859805.3,7885807731.152736,25.7,74.7000000000007,1.0,2.9742313093489674,2012-0259CHN,19.574570675474472
CHN,156,WP3,1990,1990-0390,1990202N13130,83000000.0,2014,2411023438.0,649281034.5100594,25.7,74.7000000000007,1.0,-1.3119409494563727,1990-0390CHN,0.2692968572087599
CHN,156,WP3,2005,2005-0510,2005248N08142,1750000000.0,2014,8024682806.0,27200178066.444508,25.7,74.7000000000007,1.0,1.2207013773381528,2005-0510CHN,3.389564263662499
CHN,156,WP3,2006,2006-0437,2006216N07151,2510000000.0,2014,9560135983.0,15280809674.360874,25.7,74.7000000000007,1.0,0.4689958203689142,2006-0437CHN,1.5983883180671776
CHN,156,WP3,1990,1990-0038,1990171N11148,28000000.0,2014,813357304.5,3616928034.9813476,25.7,74.7000000000007,1.0,1.4922098334953602,1990-0038CHN,4.446911603264943
CHN,156,WP3,1994,1994-0198,1994224N20152,1150000000.0,2014,21361334294.0,41466159438.21616,25.7,74.7000000000007,1.0,0.6632951802762149,1994-0198CHN,1.9411783396818632
CHN,156,WP3,2016,2016-0342,2016253N13144,2300000000.0,2014,2154362604.0,28852408408.980064,25.7,74.7000000000007,1.0,2.594698565450901,2016-0342CHN,13.392549775701577
CHN,156,WP3,2006,2006-0388,2006198N08152,367000000.0,2014,1397836616.0,33999132.54908016,25.7,74.7000000000007,1.0,-3.7163460351215822,2006-0388CHN,0.024322679889707627
CHN,156,WP3,2013,2013-0249,2013187N20156,460000000.0,2014,501902623.4,322290426.90541375,25.7,74.7000000000007,1.0,-0.44295303763893357,2013-0249CHN,0.6421373626663809
CHN,156,WP3,2015,2015-0244,2015180N09160,940000000.0,2014,890531131.4,12737560.471151492,25.7,74.7000000000007,1.0,-4.247262915552239,2015-0244CHN,0.014303329801763168
CHN,156,WP3,1999,1999-0392,1999275N16135,241600000.0,2014,2314942804.0,21533845985.554256,25.7,74.7000000000007,1.0,2.2302409486782184,1999-0392CHN,9.302107139902475
CHN,156,WP3,2012,2012-0294,2012225N16133,262000000.0,2014,320818446.7,3664170075.4303226,25.7,74.7000000000007,1.0,2.4354817661623143,2012-0294CHN,11.4213197935489
CHN,156,WP3,2008,2008-0155,2008104N08128,49000000.0,2014,111703612.9,455867137.2714708,25.7,74.7000000000007,1.0,1.4063523512011245,2008-0155CHN,4.081042013203055
CHN,156,WP3,2017,2017-0485,2017236N15129,56000000.0,2014,47967576.85,7072506120.405085,25.7,74.7000000000007,1.0,4.993444868180786,2017-0485CHN,147.4434729634479
CHN,156,WP3,2009,2009-0422,2009270N10148,35000000.0,2014,71797721.06,2343463.168977075,25.7,74.7000000000007,1.0,-3.422222913428089,2009-0422CHN,0.032639798789973945
CHN,156,WP3,2015,2015-0458,2015263N14148,661000000.0,2014,626213912.6,4371601619.359447,25.7,74.7000000000007,1.0,1.9431926980817311,2015-0458CHN,6.981003665678453
CHN,156,WP3,2003,2003-0443,2003240N20139,241000000.0,2014,1521574408.0,160351300905.22247,25.7,74.7000000000007,1.0,4.657621445487107,2003-0443CHN,105.38511955914973
CHN,156,WP3,1990,1990-0037,1990166N06141,16000000.0,2014,464775602.6,16674809.139526555,25.7,74.7000000000007,1.0,-3.327655568226049,1990-0037CHN,0.03587711800328169
CHN,156,WP3,1993,1993-0199,1993224N07153,433920000.0,2014,10227548827.0,5214594561.358439,25.7,74.7000000000007,1.0,-0.6736236041749819,1993-0199CHN,0.5098577038901326
