country,region_id,cal_region2,year,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,log_ratio,unique_ID
ATG,28,NA1,2010,2010-0468,2010236N12341,12600000.0,2014,13945942.61,846318.9198272979,25.7,66.30000000000058,1.0,-2.802047630253432,2010-0468ATG
ATG,28,NA1,2017,2017-0381,2017242N16333,250000000.0,2014,211176356.8,148443379.34334558,25.7,66.30000000000058,1.0,-0.3524899969435021,2017-0381ATG
ATG,28,NA1,1989,1989-0115,1989254N13340,80000000.0,2014,232560060.9,56823101.49765604,25.7,66.30000000000058,1.0,-1.4092055585700964,1989-0115ATG
ATG,28,NA1,1995,1995-0192,1995240N11337,350000000.0,2014,773370483.3,170184001.65392354,25.7,66.30000000000058,1.0,-1.5138779992001736,1995-0192ATG
BHS,44,NA1,2015,2015-0479,2015270N27291,90000000.0,2014,83627197.41,141603.54532180793,25.7,66.30000000000058,1.0,-6.381092855506395,2015-0479BHS
BHS,44,NA1,2011,2011-0328,2011233N15301,40000000.0,2014,43522583.4,14382978.315017682,25.7,66.30000000000058,1.0,-1.1072345160599513,2011-0328BHS
BHS,44,NA1,2004,2004-0455,2004238N11325,1000000000.0,2014,1210044074.0,80700953.63549308,25.7,66.30000000000058,1.0,-2.7076616704702023,2004-0455BHS
BHS,44,NA1,2001,2001-0671,2001303N13276,300000000.0,2014,395198026.4,30978680.2918058,25.7,66.30000000000058,1.0,-2.5460877365678587,2001-0671BHS
BHS,44,NA1,1999,1999-0327,1999251N15314,450000000.0,2014,641705937.2,74904153.32281426,25.7,66.30000000000058,1.0,-2.147920816453503,1999-0327BHS
BHS,44,NA1,2017,2017-0381,2017242N16333,2000000.0,2014,1801876.321,40371.271900452186,25.7,66.30000000000058,1.0,-3.7984653610690073,2017-0381BHS
BHS,44,NA1,1995,1995-0404,1995212N22287,400000.0,2014,1278191.893,1252843.603291975,25.7,66.30000000000058,1.0,-0.02003064538117182,1995-0404BHS
BLZ,84,NA1,2001,2001-0553,2001278N12302,250000000.0,2014,485443358.1,55641969.94335698,25.7,66.30000000000058,1.0,-2.166124842184898,2001-0553BLZ
