,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,8156405818.186817,7093716036.494078,8403747577.0486145,7747051956.169824,7145920841.908995,9736735482.022234,9115945974.720423,9426202226.28319,8549717730.607911,8090620182.052657,9066076893.255672
1,11913311881.475119,10462908168.10952,12247324330.952374,11357598270.931524,10534757223.820961,14025498472.51666,13201882611.215567,13614466625.604681,12443831294.42616,11824252438.54782,13135384377.784851
2,259183900.77692837,224283656.85906944,267355422.86639634,245700154.17753586,225990253.5772355,311709693.58159125,290986985.9723202,301329240.0973941,272186491.27604204,257013599.7834274,289327318.719724
3,243385882.85858926,213406007.25352204,250292104.3458971,231896796.6007402,214890513.1886567,287052797.4383449,270028614.7633246,278557647.8397126,254355264.27789432,241544503.38187012,268653818.3076676
4,1924328596.6476815,1666313628.6917229,1984694928.3304112,1824681686.7694607,1678937793.7665894,2312072734.937094,2159177798.6082606,2235497005.0755215,2020376125.5719843,1908292877.7407022,2146928139.1349466
5,1632690743.5474539,1411964194.7643187,1684407895.355572,1547382874.5157473,1422751674.4072251,1965362101.224205,1834047889.078659,1899573055.0832236,1714989934.9384584,1618957327.0060964,1823534804.1821852
6,239653559.06143114,207852602.3137841,247085013.09589854,227379340.44120613,209410078.67469147,287335918.55500805,268547852.84590083,277928266.41080266,251476115.79773638,237678931.1859772,267041833.45150483
7,58175.3588904311,50529.907166373276,59958.75569046645,55227.11864114001,50904.87667554025,69597.16003126073,65102.5878866399,67347.56821648795,61011.958269876544,57701.283337319386,64741.97998739833
8,304318921.44811726,263177501.3195095,313959077.21898735,288417887.592026,265188111.40070823,366333836.7300331,341853581.2932,354068879.88442266,319659726.6915097,301759029.8906748,339893757.8993528
9,2651801337.0288973,2381446177.55128,2712534379.72683,2549516075.4425344,2395102700.986081,3026988389.7787294,2883141539.426048,2955577162.148972,2748009843.0496235,2635514246.691087,2871394513.652397
10,1041733150.8683472,950923257.8944255,1061699232.9206905,1007748608.9324867,955586556.3652961,1162568333.4502978,1116945139.9909666,1140028155.507954,1073288873.8272425,1036351857.3505743,1113180832.1508014
11,132066952.12898591,114205999.82975638,136251919.95449987,125163866.41701719,115078896.76445238,158987117.3441789,148360941.486665,153663343.87644103,138726637.930115,130955643.69225068,147510207.5516764
12,284017875.25595665,245581650.9199765,293024798.7029714,269161816.5957492,247459934.44310996,341962042.57727313,319088008.7393626,330501740.0236896,298351082.39559835,281626170.5653152,317256807.404172
13,64022099.38159998,55676244.51234751,65970296.40250475,60802737.60563339,56085389.37118188,76512596.16760021,71593482.61937746,74049796.84426089,67121139.22371712,63504321.92269369,71199055.76092216
14,97034.6899520321,85428.11983765956,99698.2359024527,92595.43008005171,86004.60799472213,113818.02894401248,107290.67532454604,110563.2527037659,101263.60703694717,96323.9002523965,106762.70323523314
15,1573295842.2521312,1361264084.5877943,1622943296.3001416,1491374937.2970204,1371631815.1954136,1892436125.5488577,1766524732.463835,1829364026.365261,1652295618.963984,1560109950.2892911,1756440707.553584
16,11693234.5183091,10135959.584278565,12057485.358838739,11091896.21167899,10212174.021998268,14032575.678381471,13110194.872832818,13570616.523175484,12272774.029650286,11596470.079814147,13036293.16133165
17,20072916.09998947,17424340.705210675,20690762.8998639,19051525.443572387,17554226.747502487,24029587.863857202,22472740.9526272,23250398.721613474,21055635.637749355,19908675.507398393,22347821.829759546
18,272695271.5805842,239948663.9486928,280206136.7601286,260173239.4497768,241575625.03804338,319981133.9855381,301603575.13761353,310819788.8643335,284619336.6879162,270690617.7322052,300116288.9715535
19,232949.79920080118,204045.96769905838,239632.80756634503,221853.36667932975,205473.42609722322,275386.03607115225,258788.7400219792,267094.92832185136,243569.3547147,231169.59261942748,257451.49980022962
20,718055580.1646885,666717305.216725,729099174.262664,699057257.6752338,669398540.3254083,783579649.6675344,759207143.7326757,771593469.4053804,735469849.4161233,715064198.1323408,757176465.5273924
21,33761845.80559297,30016277.21515174,34615909.54007477,32334029.23719705,30203308.70914382,39114084.47555328,37040453.27441183,38081273.82082972,35116969.61991764,33533606.034976225,36872305.39369559
22,33802205.40304902,30084862.407053966,34648748.63971611,32386068.48144635,30270670.677312683,39100860.21971323,37049796.97286677,38079571.58215381,35145212.145029426,33575907.95460841,36883379.92369817
23,278205861.612795,241865400.921208,286665909.4232763,264205773.81508482,243650312.41521293,332268706.83636713,311029065.84147835,321643779.39705455,291658936.40817994,275955842.23022634,309322980.7776743
24,7063431013.122787,6245354247.053115,7250190796.684527,6751355667.070708,6286152061.420809,8234222692.160669,7780569678.284271,8008281710.956828,7359781030.803539,7013531255.923919,7743781921.417596
25,700964.6347844267,610006.0110349882,722111.4096413677,665946.2793223333,614478.1314399242,835911.537700997,782948.7424798729,809426.1889770172,734586.9105161972,695338.6562644952,778691.4389840632
26,5133702595.686298,4521765143.178344,5274213219.4678335,4899588347.16286,4552148250.615813,6019707829.028343,5674936868.949967,5847760308.571675,5356807666.561143,5096211739.320751,5647060718.698651
27,2505980115.0872107,2212666029.83454,2573141807.4523497,2393921058.3402452,2227260497.3443933,2928279082.809419,2764290199.5711236,2846547805.3732586,2612587505.6102786,2488048194.226014,2751011921.102667
28,579365180.2377937,503505291.07007444,597040081.1208223,550128469.0793822,507228978.0732149,692419800.9544997,647973595.021977,670180887.2409513,607474374.4010872,574665369.2375652,644405191.0898466
29,816407751.3062223,709988282.6673431,841201676.3065435,775395005.9944178,715212523.4375763,975013338.864129,912653331.429004,943809746.5985737,855838803.7578275,809814985.2514503,907647147.0276989
