N,cal_region2,log_ratio_total_impact,total_impact_CLIMADA,total_impact_EMDAT_scaled,v_half
73,NA1,2.7844721796433483,2191526500948.4148,135352357369.4079,25.8
73,NA1,2.7844364802409634,2191448266158.4958,135352357369.4079,25.9
73,NA1,2.784339604867243,2191235979071.5854,135352357369.4079,26.000000000000004
73,NA1,2.784151049247641,2190822848164.1577,135352357369.4079,26.100000000000005
73,NA1,2.7838404651379975,2190142519055.6482,135352357369.4079,26.20000000000001
73,NA1,2.7833777763953234,2189129399164.8877,135352357369.4079,26.300000000000008
73,NA1,2.7827333265578007,2187719069571.429,135352357369.4079,26.40000000000001
73,NA1,2.781878056149984,2185848778107.0889,135352357369.4079,26.50000000000001
73,NA1,2.78078370712247,2183458005031.1682,135352357369.4079,26.60000000000001
73,NA1,2.779423050922531,2180489089653.925,135352357369.4079,26.70000000000001
73,NA1,2.7777701357134275,2176887903122.2542,135352357369.4079,26.800000000000008
73,NA1,2.7758005472656824,2172604549462.8652,135352357369.4079,26.90000000000001
73,NA1,2.7734916770934688,2167594074116.9863,135352357369.4079,27.00000000000001
73,NA1,2.7708229905698687,2161817156841.9402,135352357369.4079,27.10000000000002
73,NA1,2.7677762870959155,2155240764246.2817,135352357369.4079,27.20000000000002
73,NA1,2.7643359439877098,2147838736594.732,135352357369.4079,27.300000000000026
73,NA1,2.760489135643511,2139592284051.2363,135352357369.4079,27.400000000000023
73,NA1,2.7562260198049082,2130490369340.2925,135352357369.4079,27.500000000000025
73,NA1,2.7515398833593334,2120529956926.837,135352357369.4079,27.600000000000023
73,NA1,2.7464272411478228,2109716113170.653,135352357369.4079,27.700000000000035
73,NA1,2.7408878826169856,2098061947323.1853,135352357369.4079,27.800000000000033
73,NA1,2.7349248628351135,2085588389424.7522,135352357369.4079,27.900000000000034
73,NA1,2.728544436301181,2072323807770.2678,135352357369.4079,28.000000000000032
73,NA1,2.721755934013651,2058303475232.8997,135352357369.4079,28.100000000000033
73,NA1,2.714571586321813,2043568899944.347,135352357369.4079,28.200000000000035
73,NA1,2.7070062960398276,2028167041229.6624,135352357369.4079,28.30000000000004
73,NA1,2.699077368052261,2012149435948.412,135352357369.4079,28.400000000000038
73,NA1,2.690804203083633,1995571263260.0454,135352357369.4079,28.50000000000004
73,NA1,2.682207964369587,1978490377180.2659,135352357369.4079,28.600000000000037
73,NA1,2.6733112266078995,1960966336117.7388,135352357369.4079,28.70000000000004
73,NA1,2.664137616767774,1943059456981.3506,135352357369.4079,28.800000000000054
73,NA1,2.6547114561100504,1924829918629.0928,135352357369.4079,28.900000000000052
73,NA1,2.645057412159831,1906336935662.5962,135352357369.4079,29.000000000000053
73,NA1,2.635200168439008,1887638019169.1934,135352357369.4079,29.10000000000005
73,NA1,2.625164118586087,1868788336298.0593,135352357369.4079,29.200000000000053
