country,region_id,cal_region2,year,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,log_ratio,unique_ID
ATG,28,NA1,2010,2010-0468,2010236N12341,12600000.0,2014,13945942.61,1452130.8826430156,25.7,59.60000000000048,1.0,-2.2621565617302997,2010-0468ATG
ATG,28,NA1,2017,2017-0381,2017242N16333,250000000.0,2014,211176356.8,230540232.79928216,25.7,59.60000000000048,1.0,0.08773179437643414,2017-0381ATG
ATG,28,NA1,1989,1989-0115,1989254N13340,80000000.0,2014,232560060.9,93574105.064183,25.7,59.60000000000048,1.0,-0.9103948282082716,1989-0115ATG
ATG,28,NA1,1995,1995-0192,1995240N11337,350000000.0,2014,773370483.3,261729554.37739068,25.7,59.60000000000048,1.0,-1.083446478149782,1995-0192ATG
BHS,44,NA1,2015,2015-0479,2015270N27291,90000000.0,2014,83627197.41,210335.24657986802,25.7,59.60000000000048,1.0,-5.985421403944959,2015-0479BHS
BHS,44,NA1,2011,2011-0328,2011233N15301,40000000.0,2014,43522583.4,24397393.529250793,25.7,59.60000000000048,1.0,-0.5788036579775853,2011-0328BHS
BHS,44,NA1,2004,2004-0455,2004238N11325,1000000000.0,2014,1210044074.0,136796284.76081818,25.7,59.60000000000048,1.0,-2.179919216082302,2004-0455BHS
BHS,44,NA1,2001,2001-0671,2001303N13276,300000000.0,2014,395198026.4,52852578.73348127,25.7,59.60000000000048,1.0,-2.011880467364878,2001-0671BHS
BHS,44,NA1,1999,1999-0327,1999251N15314,450000000.0,2014,641705937.2,127088059.36788374,25.7,59.60000000000048,1.0,-1.6192499299816183,1999-0327BHS
BHS,44,NA1,2017,2017-0381,2017242N16333,2000000.0,2014,1801876.321,60177.69808470577,25.7,59.60000000000048,1.0,-3.3992819815506783,2017-0381BHS
BHS,44,NA1,1995,1995-0404,1995212N22287,400000.0,2014,1278191.893,2130724.9075960917,25.7,59.60000000000048,1.0,0.5110157583251816,1995-0404BHS
BLZ,84,NA1,2001,2001-0553,2001278N12302,250000000.0,2014,485443358.1,82870660.04257144,25.7,59.60000000000048,1.0,-1.7677815341536174,2001-0553BLZ
BLZ,84,NA1,2007,2007-0360,2007225N12331,14847000.0,2014,19476548.08,314177308.9469028,25.7,59.60000000000048,1.0,2.780746425485764,2007-0360BLZ
BMU,60,NA1,2003,2003-0448,2003240N15329,300000000.0,2014,399403562.6,3311296595.46279,25.7,59.60000000000048,1.0,2.1151227715304612,2003-0448BMU
BMU,60,NA1,1987,1987-0164,1987263N10309,50000000.0,2014,214952184.2,211075500.91917536,25.7,59.60000000000048,1.0,-0.01819971058982717,1987-0164BMU
CPV,132,NA1,2015,2015-0473,2015242N12343,1100000.0,2014,1281242.483,3501312.198532934,25.7,59.60000000000048,1.0,1.0053075151387363,2015-0473CPV
CUB,192,NA1,2005,2005-0351,2005186N12299,1400000000.0,2014,2647941893.0,9706868684.87048,25.7,59.60000000000048,1.0,1.2990510526558787,2005-0351CUB
CUB,192,NA1,2008,2008-0384,2008245N17323,1500000000.0,2014,1989662255.0,7812224521.757179,25.7,59.60000000000048,1.0,1.3677248499991308,2008-0384CUB
CUB,192,NA1,2004,2004-0415,2004223N11301,1000000000.0,2014,2111247808.0,19681996819.21973,25.7,59.60000000000048,1.0,2.2324251999763405,2004-0415CUB
CUB,192,NA1,2017,2017-0381,2017242N16333,13200000000.0,2014,10992753818.0,811993099.939662,25.7,59.60000000000048,1.0,-2.6054997483809643,2017-0381CUB
CUB,192,NA1,2008,2008-0352,2008238N13293,2072000000.0,2014,2748386795.0,677532486.1894193,25.7,59.60000000000048,1.0,-1.4003118968324146,2008-0352CUB
DMA,212,NA1,2017,2017-0383,2017260N12310,1456000000.0,2014,1534596212.0,481294740.3596112,25.7,59.60000000000048,1.0,-1.1595427230830029,2017-0383DMA
DMA,212,NA1,2007,2007-0360,2007225N12331,20000000.0,2014,24849111.57,6461697.08629969,25.7,59.60000000000048,1.0,-1.346930010042625,2007-0360DMA
DMA,212,NA1,1989,1989-0115,1989254N13340,20000000.0,2014,56557045.94,5786081.911941023,25.7,59.60000000000048,1.0,-2.2797944280666904,1989-0115DMA
DOM,214,NA1,2011,2011-0328,2011233N15301,30000000.0,2014,34283168.75,6147839.749410368,25.7,59.60000000000048,1.0,-1.7185537668851156,2011-0328DOM
DOM,214,NA1,2017,2017-0383,2017260N12310,63000000.0,2014,54813712.03,11073862.335545633,25.7,59.60000000000048,1.0,-1.599352795177834,2017-0383DOM
HND,340,NA1,2007,2007-0439,2007244N12303,6579000.0,2014,10588404.38,41050308.71862337,25.7,59.60000000000048,1.0,1.3550388804925655,2007-0439HND
JAM,388,NA1,2005,2005-0351,2005186N12299,30000000.0,2014,37089462.6,346909092.20964843,25.7,59.60000000000048,1.0,2.235729861202876,2005-0351JAM
JAM,388,NA1,2004,2004-0415,2004223N11301,300000000.0,2014,409384949.8,26202569.17792196,25.7,59.60000000000048,1.0,-2.7487984447636293,2004-0415JAM
JAM,388,NA1,2007,2007-0360,2007225N12331,300000000.0,2014,323956910.3,9841122028.228231,25.7,59.60000000000048,1.0,3.413714496757897,2007-0360JAM
JAM,388,NA1,2012,2012-0410,2012296N14283,16542000.0,2014,15483975.86,989324004.7919012,25.7,59.60000000000048,1.0,4.157216212770497,2012-0410JAM
JAM,388,NA1,2008,2008-0352,2008238N13293,66198000.0,2014,67028878.91,568636721.3506657,25.7,59.60000000000048,1.0,2.1381182241440295,2008-0352JAM
KNA,659,NA1,2017,2017-0381,2017242N16333,20000000.0,2014,18484889.46,199417978.3614462,25.7,59.60000000000048,1.0,2.3784494033705315,2017-0381KNA
KNA,659,NA1,1989,1989-0115,1989254N13340,46000000.0,2014,219073474.2,73701030.6740739,25.7,59.60000000000048,1.0,-1.0893903883592033,1989-0115KNA
LCA,662,NA1,2010,2010-0571,2010302N09306,500000.0,2014,548667.5019,12418641.559252022,25.7,59.60000000000048,1.0,3.1194613593798244,2010-0571LCA
LCA,662,NA1,2007,2007-0360,2007225N12331,40000000.0,2014,47496877.29,63848895.94107433,25.7,59.60000000000048,1.0,0.2958553232651197,2007-0360LCA
MEX,484,NA1,2014,2014-0333,2014253N13260,2500000000.0,2014,2500000000.0,3584780888.237967,25.7,59.60000000000048,1.0,0.3604066212685706,2014-0333MEX
MEX,484,NA1,2016,2016-0319,2016248N15255,50000000.0,2014,60984824.31,655625212.0904803,25.7,59.60000000000048,1.0,2.374964251225386,2016-0319MEX
MEX,484,NA1,2009,2009-0384,2009239N12270,40000000.0,2014,58422121.35,65601879.51609547,25.7,59.60000000000048,1.0,0.11590973834860256,2009-0384MEX
MEX,484,NA1,2015,2015-0470,2015293N13266,823000000.0,2014,924242990.8,8948977085.976036,25.7,59.60000000000048,1.0,2.270319498541792,2015-0470MEX
MEX,484,NA1,2010,2010-0494,2010257N16282,3900000000.0,2014,4846656451.0,6010450875.138364,25.7,59.60000000000048,1.0,0.21521069089150832,2010-0494MEX
MEX,484,NA1,1995,1995-0256,1995281N14278,1500000000.0,2014,5476225576.0,203578369.02129823,25.7,59.60000000000048,1.0,-3.292120342627632,1995-0256MEX
MEX,484,NA1,2005,2005-0585,2005289N18282,5000000000.0,2014,7490595958.0,3490615876.691024,25.7,59.60000000000048,1.0,-0.7635701719086093,2005-0585MEX
MEX,484,NA1,2012,2012-0276,2012215N12313,300000000.0,2014,328342750.7,348527357.56286603,25.7,59.60000000000048,1.0,0.05965869358962059,2012-0276MEX
MEX,484,NA1,2006,2006-0505,2006257N16259,2700000.0,2014,3638886.137,2202694311.3966475,25.7,59.60000000000048,1.0,6.405758948527004,2006-0505MEX
MEX,484,NA1,1997,1997-0243,1997279N12263,447800000.0,2014,1176350687.0,1974612353.275756,25.7,59.60000000000048,1.0,0.5179550940118854,1997-0243MEX
