,Year,Country,Region,GHM,clim_forc,D_CliExp_Pos,D_CliExp_Neg,D_1980_Pos,D_1980_Neg,D_2010_Pos,D_2010_Neg,D_obs_dummy_Pos,D_obs_dummy_Neg
1,1971,ABW,LAM,orchidee,wfdei,0,0,0,0,0,0,,
7,1971,ABW,LAM,lpjml,princeton,0,0,0,0,0,0,,
25,1971,ABW,LAM,orchidee,princeton,0,0,0,0,0,0,,
30,1971,ABW,LAM,lpjml,wfdei,0,0,0,0,0,0,,
37,1971,ABW,LAM,matsiro,princeton,0,0,0,0,0,0,,
41,1971,ABW,LAM,matsiro,wfdei,0,0,0,0,0,0,,
139,1971,AIA,LAM,orchidee,wfdei,0,0,0,0,0,0,,
145,1971,AIA,LAM,lpjml,princeton,0,0,0,0,0,0,,
163,1971,AIA,LAM,orchidee,princeton,0,0,0,0,0,0,,
168,1971,AIA,LAM,lpjml,wfdei,0,0,0,0,0,0,,
175,1971,AIA,LAM,matsiro,princeton,0,0,0,0,0,0,,
179,1971,AIA,LAM,matsiro,wfdei,0,0,0,0,0,0,,
277,1971,ANT,LAM,orchidee,wfdei,0,0,0,0,0,0,,
283,1971,ANT,LAM,lpjml,princeton,0,0,0,0,0,0,,
301,1971,ANT,LAM,orchidee,princeton,0,0,0,0,0,0,,
306,1971,ANT,LAM,lpjml,wfdei,0,0,0,0,0,0,,
313,1971,ANT,LAM,matsiro,princeton,0,0,0,0,0,0,,
317,1971,ANT,LAM,matsiro,wfdei,0,0,0,0,0,0,,
369,1971,ARG,LAM,orchidee,wfdei,1096387.80452033,64569168.1091397,1669235.33944595,102977764.785867,9511687.51410694,598076076.590174,,
375,1971,ARG,LAM,lpjml,princeton,0,12203812.1385697,0,19091042.7285467,0,102679878.741874,,
393,1971,ARG,LAM,orchidee,princeton,0,20983364.0611119,0,32910616.4660326,0,188118665.615661,,
398,1971,ARG,LAM,lpjml,wfdei,893626.35221148,13065914.4001733,1359166.08474549,20090858.3404325,7811199.24320071,120414917.72408,,
405,1971,ARG,LAM,matsiro,princeton,0,11269878.6091928,0,17710173.3108218,0,96328457.2104541,,
409,1971,ARG,LAM,matsiro,wfdei,302184.152345433,89574736.6342562,456049.084057801,140627726.16499,2550090.91039089,798601288.381915,,
507,1971,ATG,LAM,orchidee,wfdei,0,0,0,0,0,0,,
513,1971,ATG,LAM,lpjml,princeton,0,0,0,0,0,0,,
531,1971,ATG,LAM,orchidee,princeton,0,0,0,0,0,0,,
536,1971,ATG,LAM,lpjml,wfdei,0,0,0,0,0,0,,
