,Year,AMO,ENSO,PDO,NAO,GMT,AMO_lag,ENSO_lag,PDO_lag,GMT_lag,NAO_lag
20,1971,1.139213826535989,1.9007352941176472,1.1744417422065,1.6269662921348313,1.135108801558944,1.4040467910211825,1.6213235294117647,1.411452575724077,1.4849438202247192,1.4849438202247192
21,1972,1.085888924017283,1.198529411764706,1.272385584788857,1.8966292134831462,1.1351088015589992,1.139213826535989,1.9007352941176472,1.1744417422065,1.6269662921348313,1.6269662921348313
22,1973,1.2595637053430289,1.7389705882352944,1.3035595843466725,1.5748314606741574,1.4222150048717064,1.085888924017283,1.198529411764706,1.272385584788857,1.8966292134831462,1.8966292134831462
23,1974,1.0,1.897058823529412,1.4275923059915985,1.7191011235955056,1.1110750243585876,1.2595637053430289,1.7389705882352944,1.3035595843466725,1.5748314606741574,1.5748314606741574
24,1975,1.1534408262198335,2.0,1.2246296705726287,1.581573033707865,1.2240987333549984,1.0,1.897058823529412,1.4275923059915985,1.7191011235955056,1.7191011235955056
25,1976,1.0710296132363792,1.5514705882352944,1.519124474906036,1.722696629213483,1.0545631698603821,1.1534408262198335,2.0,1.2246296705726287,1.581573033707865,1.581573033707865
26,1977,1.2912846453788598,1.1323529411764708,1.5781560910899848,1.4404494382022472,1.408574212406611,1.0710296132363792,1.5514705882352944,1.519124474906036,1.722696629213483,1.722696629213483
27,1978,1.3031931710401519,1.3823529411764708,1.5794826442626575,1.792808988764045,1.296849626502156,1.2912846453788598,1.1323529411764708,1.5781560910899848,1.4404494382022472,1.4404494382022472
28,1979,1.3907682579829277,1.474264705882353,1.6057926155206723,1.6943820224719102,1.3913608314388024,1.3031931710401519,1.3823529411764708,1.5794826442626575,1.792808988764045,1.792808988764045
29,1980,1.507008114659079,1.3823529411764708,1.6767632102586778,1.3991011235955058,1.4764533939591549,1.3907682579829277,1.474264705882353,1.6057926155206723,1.6943820224719102,1.6943820224719102
30,1981,1.433449257034461,1.5183823529411766,1.7605571523325225,1.5069662921348315,1.6092887301071757,1.507008114659079,1.3823529411764708,1.6767632102586778,1.3991011235955058,1.3991011235955058
31,1982,1.261460638634208,1.0257352941176472,1.5472031837276146,1.8534831460674157,1.3182851575187111,1.433449257034461,1.5183823529411766,1.7605571523325225,1.5069662921348315,1.5069662921348315
32,1983,1.4408262198334914,1.0772058823529413,1.9542339155427815,1.7887640449438202,1.580383241312095,1.261460638634208,1.0257352941176472,1.5472031837276146,1.8534831460674157,1.8534831460674157
33,1984,1.2677837496048057,1.474264705882353,1.7391112093743093,1.755056179775281,1.3303020461189168,1.4408262198334914,1.0772058823529413,1.9542339155427815,1.7887640449438202,1.7887640449438202
34,1985,1.1922225735061651,1.536764705882353,1.6360822462967057,1.5226966292134834,1.344267619356946,1.2677837496048057,1.474264705882353,1.7391112093743093,1.755056179775281,1.755056179775281
35,1986,1.182421751501739,1.3750000000000002,1.8456776475790404,1.8930337078651684,1.4316336472881108,1.1922225735061651,1.536764705882353,1.6360822462967057,1.5226966292134834,1.5226966292134834
36,1987,1.6142902307935505,1.0,2.0,1.555505617977528,1.559272491068529,1.182421751501739,1.3750000000000002,1.8456776475790404,1.8930337078651684,1.8930337078651684
37,1988,1.523658973548319,1.7720588235294117,1.6579703736458105,1.61438202247191,1.635271191945466,1.6142902307935505,1.0,2.0,1.555505617977528,1.555505617977528
38,1989,1.4252292127726842,1.7242647058823533,1.4693787309307982,2.0,1.4878207210133274,1.523658973548319,1.7720588235294117,1.6579703736458105,1.61438202247191,1.61438202247191
39,1990,1.4816102855938456,1.3602941176470589,1.422507185496352,1.9420224719101122,1.7226372198766309,1.4252292127726842,1.7242647058823533,1.4693787309307982,2.0,2.0
40,1991,1.3630519548951416,1.1580882352941178,1.405704178642494,1.7662921348314606,1.630724261123786,1.4816102855938456,1.3602941176470589,1.422507185496352,1.9420224719101122,1.9420224719101122
41,1992,1.2526082832753715,1.047794117647059,1.7632102586778688,1.9348314606741575,1.3949334199415708,1.3630519548951416,1.1580882352941178,1.405704178642494,1.7662921348314606,1.7662921348314606
42,1993,1.2631468015597007,1.125,1.8927702852089323,1.7182022471910112,1.480675544007846,1.2526082832753715,1.047794117647059,1.7632102586778688,1.9348314606741575,1.9348314606741575
43,1994,1.3059331857940772,1.047794117647059,1.4766747733804997,1.932134831460674,1.5894771029555104,1.2631468015597007,1.125,1.8927702852089323,1.7182022471910112,1.7182022471910112
44,1995,1.7001791548108336,1.4044117647058825,1.687375635640062,1.5779775280898876,1.7645339395907738,1.3059331857940772,1.047794117647059,1.4766747733804997,1.932134831460674,1.932134831460674
45,1996,1.4563178417114553,1.7095588235294117,1.686933451249171,1.506067415730337,1.5368626177330622,1.7001791548108336,1.4044117647058825,1.687375635640062,1.5779775280898876,1.5779775280898876
46,1997,1.5947939719675412,1.0882352941176472,1.904488171567544,1.5370786516853934,1.7258850276064657,1.4563178417114553,1.7095588235294117,1.686933451249171,1.506067415730337,1.506067415730337
47,1998,2.0,1.4007352941176472,1.5821357506080036,1.362247191011236,1.9155569990256809,1.5947939719675412,1.0882352941176472,1.904488171567544,1.5370786516853934,1.5370786516853934
48,1999,1.6781536515965856,1.7867647058823533,1.2347999115631219,1.8323595505617978,1.7187398506008735,2.0,1.4007352941176472,1.5821357506080036,1.362247191011236,1.362247191011236
