latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.5742,144.5101,324.8,1.5,1.2,2019-12-29,0021,Terra,MODIS,45,6.03,301.1,15.8,D,0
-18.4404,144.035,325.2,1.7,1.3,2019-12-29,0021,Terra,MODIS,38,6.03,303,17,D,0
-19.5767,144.5245,336.8,1.5,1.2,2019-12-29,0021,Terra,MODIS,82,6.03,305.9,44.4,D,0
-18.4288,144.037,330.6,1.7,1.3,2019-12-29,0021,Terra,MODIS,70,6.03,304.2,29.3,D,0
-19.2157,146.1021,323.6,1.2,1.1,2019-12-29,0021,Terra,MODIS,55,6.03,297.9,11.1,D,0
-19.6128,144.5256,325.5,1.5,1.2,2019-12-29,0021,Terra,MODIS,54,6.03,300.6,19.7,D,0
-19.3909,143.3237,326.1,1.9,1.3,2019-12-29,0021,Terra,MODIS,63,6.03,304.2,27.7,D,0
-19.5792,144.5389,328.7,1.5,1.2,2019-12-29,0021,Terra,MODIS,45,6.03,304.2,22.8,D,0
-21.4876,140.7524,329,2.6,1.6,2019-12-29,0022,Terra,MODIS,39,6.03,307.3,46.2,D,0
-21.3311,140.824,331.8,2.6,1.5,2019-12-29,0022,Terra,MODIS,58,6.03,307.8,45.9,D,0
-19.8799,144.531,327.7,1.5,1.2,2019-12-29,0022,Terra,MODIS,64,6.03,304.5,21.3,D,0
-26.2932,150.4258,335.1,1.2,1.1,2019-12-29,0023,Terra,MODIS,76,6.03,307.8,29.7,D,0
-26.2849,150.4392,332.4,1.2,1.1,2019-12-29,0023,Terra,MODIS,79,6.03,311.9,25.6,D,0
-25.9916,150.5269,337.8,1.2,1.1,2019-12-29,0023,Terra,MODIS,86,6.03,312.2,25.3,D,0
-25.969,150.5058,337.5,1.2,1.1,2019-12-29,0023,Terra,MODIS,77,6.03,310.4,26.7,D,0
-25.9675,150.4939,358.4,1.2,1.1,2019-12-29,0023,Terra,MODIS,99,6.03,312.3,81.7,D,0
-25.966,150.4818,352,1.2,1.1,2019-12-29,0023,Terra,MODIS,95,6.03,309.7,62.9,D,0
-26.2962,150.4496,395.4,1.2,1.1,2019-12-29,0023,Terra,MODIS,100,6.03,317,273.6,D,0
-26.5099,150.6893,328.5,1.2,1.1,2019-12-29,0023,Terra,MODIS,75,6.03,306.9,19.5,D,0
-26.4999,150.6908,325.4,1.2,1.1,2019-12-29,0023,Terra,MODIS,71,6.03,307,15.4,D,0
-26.3098,150.4659,351.5,1.2,1.1,2019-12-29,0023,Terra,MODIS,95,6.03,310.1,69.8,D,0
-26.3084,150.454,381.1,1.2,1.1,2019-12-29,0023,Terra,MODIS,100,6.03,310.9,189.2,D,0
-26.3091,150.472,327.5,1.2,1.1,2019-12-29,0023,Terra,MODIS,72,6.03,308.4,15.6,D,0
-26.3076,150.46,395.3,1.2,1.1,2019-12-29,0023,Terra,MODIS,100,6.03,314.3,275.4,D,0
-26.306,150.4481,363.9,1.2,1.1,2019-12-29,0023,Terra,MODIS,100,6.03,306.1,107.2,D,0
-26.3045,150.4362,336.1,1.2,1.1,2019-12-29,0023,Terra,MODIS,75,6.03,302.9,32.6,D,0
-26.2978,150.4615,352.1,1.2,1.1,2019-12-29,0023,Terra,MODIS,95,6.03,311.9,66.9,D,0
-26.2947,150.4377,380.1,1.2,1.1,2019-12-29,0023,Terra,MODIS,100,6.03,313.5,181.6,D,0
-30.7371,152.0608,328,1.7,1.3,2019-12-29,0024,Terra,MODIS,62,6.03,306.7,35.5,D,0
-30.2547,150.268,330.3,1.3,1.1,2019-12-29,0024,Terra,MODIS,34,6.03,313.2,16,D,0
-30.2649,150.2664,332.7,1.3,1.1,2019-12-29,0024,Terra,MODIS,34,6.03,315.9,19.5,D,0
-30.5195,150.8902,327.7,1.4,1.2,2019-12-29,0024,Terra,MODIS,20,6.03,311.4,14.8,D,0
-30.5213,150.9057,327.1,1.4,1.2,2019-12-29,0024,Terra,MODIS,37,6.03,312.8,15.7,D,0
-31.6279,151.1362,329.3,1.5,1.2,2019-12-29,0024,Terra,MODIS,52,6.03,308.1,28.3,D,0
-31.6052,151.2392,336.2,1.5,1.2,2019-12-29,0024,Terra,MODIS,70,6.03,310.3,41.9,D,0
-31.5924,151.2239,341.6,1.5,1.2,2019-12-29,0024,Terra,MODIS,80,6.03,305.7,62.7,D,0
-31.5908,151.2085,337.3,1.5,1.2,2019-12-29,0024,Terra,MODIS,79,6.03,305.2,55.1,D,0
-31.6049,151.2467,338.6,1.5,1.2,2019-12-29,0024,Terra,MODIS,79,6.03,312,48.7,D,0
-31.5938,151.2476,331.9,1.5,1.2,2019-12-29,0024,Terra,MODIS,66,6.03,310.4,29.9,D,0
-31.5902,151.2151,343.7,1.5,1.2,2019-12-29,0024,Terra,MODIS,88,6.03,305.7,72.3,D,0
-31.6237,152.0872,330.4,1.7,1.3,2019-12-29,0024,Terra,MODIS,39,6.03,306.2,39.9,D,0
-31.6172,152.1418,328.4,1.7,1.3,2019-12-29,0024,Terra,MODIS,43,6.03,303.8,40.7,D,0
-31.5968,152.1318,333.3,1.7,1.3,2019-12-29,0024,Terra,MODIS,69,6.03,304.7,53.4,D,0
-31.4896,151.3335,346.3,1.5,1.2,2019-12-29,0024,Terra,MODIS,90,6.03,307.9,83.4,D,0
-31.4419,152.0838,333.6,1.7,1.3,2019-12-29,0024,Terra,MODIS,76,6.03,305,54.2,D,0
-31.4148,151.8141,331.6,1.7,1.3,2019-12-29,0024,Terra,MODIS,29,6.03,297.2,39.2,D,0
-31.413,151.7963,393.6,1.6,1.3,2019-12-29,0024,Terra,MODIS,100,6.03,297.2,428.4,D,0
-31.4111,151.7782,373.9,1.6,1.3,2019-12-29,0024,Terra,MODIS,100,6.03,299.5,247.1,D,0
-31.4015,151.7973,434.5,1.6,1.3,2019-12-29,0024,Terra,MODIS,100,6.03,295.5,1080.1,D,0
-31.3997,151.7793,459.5,1.6,1.3,2019-12-29,0024,Terra,MODIS,100,6.03,314.9,1722.7,D,0
-31.3865,151.7632,332.7,1.6,1.3,2019-12-29,0024,Terra,MODIS,47,6.03,299.9,43.6,D,0
-31.3849,151.7471,333.2,1.6,1.3,2019-12-29,0024,Terra,MODIS,47,6.03,301.7,45.9,D,0
-31.3734,151.7481,339.5,1.6,1.3,2019-12-29,0024,Terra,MODIS,83,6.03,304.4,68.1,D,0
-31.387,151.7521,334.7,1.6,1.3,2019-12-29,0024,Terra,MODIS,76,6.03,300.6,53.3,D,0
-31.3739,151.7374,346,1.6,1.3,2019-12-29,0024,Terra,MODIS,90,6.03,304.3,91,D,0
-31.3492,151.7217,334.2,1.6,1.3,2019-12-29,0024,Terra,MODIS,75,6.03,304.6,50.1,D,0
-30.7487,152.0592,325.8,1.7,1.3,2019-12-29,0024,Terra,MODIS,51,6.03,307.1,31.4,D,0
-32.597,150.446,340.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,85,6.03,310.1,48.8,D,0
-32.5952,150.4303,344.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,89,6.03,309.9,62.3,D,0
-32.5935,150.4155,335.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,73,6.03,309.2,36.3,D,0
-32.573,150.2351,347.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,91,6.03,309.7,70,D,0
-32.6205,150.7558,328.4,1.5,1.2,2019-12-29,0025,Terra,MODIS,45,6.03,308.3,25.2,D,0
-32.6102,150.6615,327.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,30,6.03,307.2,22.1,D,0
-32.6084,150.6457,335.6,1.5,1.2,2019-12-29,0025,Terra,MODIS,79,6.03,308.4,41.1,D,0
-32.6067,150.6305,330.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,55,6.03,308.9,28.6,D,0
-32.5643,150.2524,335.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,61,6.03,309.2,37.2,D,0
-32.596,150.6322,345.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,89,6.03,309.5,68.7,D,0
-32.5942,150.6161,340,1.4,1.2,2019-12-29,0025,Terra,MODIS,84,6.03,310.6,52.8,D,0
-32.5817,150.6018,339.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,84,6.03,309.8,51.7,D,0
-32.58,150.5869,330.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,63,6.03,309.6,26.4,D,0
-32.5784,150.5719,330.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,70,6.03,310.5,28,D,0
-32.5768,150.557,325.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,24,6.03,310.3,16,D,0
-32.5751,150.5417,325.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,31,6.03,309.9,16,D,0
-32.5683,150.4803,332.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,52,6.03,310,27.6,D,0
-32.1613,151.3466,346.5,1.6,1.2,2019-12-29,0025,Terra,MODIS,90,6.03,306.4,89.6,D,0
-32.1501,151.3485,331.1,1.6,1.2,2019-12-29,0025,Terra,MODIS,54,6.03,304.8,41,D,0
-32.1622,151.3534,335.5,1.6,1.2,2019-12-29,0025,Terra,MODIS,76,6.03,306.1,54.2,D,0
-32.1601,151.3342,335.5,1.6,1.2,2019-12-29,0025,Terra,MODIS,76,6.03,303.6,55.5,D,0
-32.1526,151.3705,331.4,1.6,1.2,2019-12-29,0025,Terra,MODIS,62,6.03,304.2,39.5,D,0
-32.149,151.3366,327.1,1.6,1.2,2019-12-29,0025,Terra,MODIS,32,6.03,303.9,32.9,D,0
-32.0537,151.4024,327.3,1.6,1.2,2019-12-29,0025,Terra,MODIS,54,6.03,301.4,39.3,D,0
-32.0521,151.3874,328.1,1.6,1.2,2019-12-29,0025,Terra,MODIS,59,6.03,303.2,38.8,D,0
-33.004,150.0207,339.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,85,6.03,308.6,44.2,D,0
-33.0095,150.0138,342.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,88,6.03,309.8,50.4,D,0
-33.0166,149.9825,335.9,1.3,1.2,2019-12-29,0025,Terra,MODIS,82,6.03,310.3,30.1,D,0
-33.0269,149.9798,332.4,1.3,1.2,2019-12-29,0025,Terra,MODIS,72,6.03,309.4,22.5,D,0
-33.0286,149.9951,328,1.4,1.2,2019-12-29,0025,Terra,MODIS,45,6.03,308.6,14.2,D,0
-33.039,149.9932,344.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,90,6.03,310.9,54,D,0
-33.0511,150.0063,337.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,81,6.03,310.7,39,D,0
-33.1306,150.2365,339.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,83,6.03,309.7,40.9,D,0
-33.2224,150.9566,322.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,50,6.03,305.2,21,D,0
-33.1917,150.0676,337.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,73,6.03,310.5,37.7,D,0
-33.2004,150.0509,339,1.4,1.2,2019-12-29,0025,Terra,MODIS,71,6.03,312.5,38,D,0
-33.1967,150.061,339.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,87,6.03,311.5,39.8,D,0
-33.2281,150.0551,336.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,83,6.03,314.2,31.4,D,0
-33.2296,150.0693,340.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,87,6.03,311.7,43.5,D,0
-33.4166,150.4155,321.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,46,6.03,304,14.3,D,0
-33.4528,150.3459,356.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,98,6.03,302.3,114.1,D,0
-33.4545,150.3614,348.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,93,6.03,305.4,80.2,D,0
-33.7468,150.143,341.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,87,6.03,294.6,66.2,D,0
-33.7486,150.1593,359.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,99,6.03,299.5,129.9,D,0
-33.7575,150.1423,369.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,298,178.8,D,0
