hit_country,Date_start_EM,Disaster_name,EM_ID,ibtracsID,allocation_level,checked_manually
IND,02.12.17,Cyclone 'Ockhi',2017-0508,2017333N06082,1,
LKA,29.11.17,Cyclone 'Ockhi',2017-0508,2017333N06082,1,
IDN,28.11.17,Cyclone 'Cempaka',2017-0515,2017325S10112,15,yes
VNM,04.11.17,Typhoon 'Damrey' / 'Ramil',2017-0422,2017304N11127,7,yes
PHL,01.11.17,Typhoon 'Damrey' / 'Ramil',2017-0422,2017304N11127,7,yes
JPN,22.10.17,Typhoon 'Lan'/'Paolo',2017-0432,2017288N09138,15,yes
PHL,18.10.17,Typhoon 'Lan'/'Paolo',2017-0432,2017288N09138,5,yes
USA,07.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,4,yes
PAN,06.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,0,yes
SLV,05.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,0,yes
GTM,05.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,0,yes
HND,05.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,1,yes
NIC,05.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,1,yes
COL,04.10.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,0,yes
USA,26.09.17,Hurricane 'Maria',2017-0383,2017260N12310,0,yes
REU,27.01.80,Hyacinthe,1980-0029,N/A,0,
CRI,21.09.17,Tropical depression'16/Hurricane 'Nate',2017-0410,2017277N11279,0,yes
HTI,21.09.17,Hurricane 'Maria',2017-0383,2017260N12310,0,yes
DOM,20.09.17,Hurricane 'Maria',2017-0383,2017260N12310,7,yes
GLP,20.09.17,Hurricane 'Maria',2017-0383,2017260N12310,0,yes
PRI,20.09.17,Hurricane 'Maria',2017-0383,2017260N12310,7,yes
VGB,20.09.17,Hurricane 'Maria',2017-0383,2017260N12310,10,yes
VIR,20.09.17,Hurricane 'Maria',2017-0383,2017260N12310,7,yes
DMA,18.09.17,Hurricane 'Maria',2017-0383,2017260N12310,10,yes
MTQ,18.09.17,Hurricane 'Maria',2017-0383,2017260N12310,0,yes
JPN,17.09.17,Typhoon 'Talim',2017-0468,2017252N14147,8,
THA,17.09.17,Typhoon 'Doksuri',2017-0406,2017253N14130,2,yes
VNM,15.09.17,Typhoon 'Doksuri',2017-0406,2017253N14130,2,yes
PHL,11.09.17,Typhoon 'Doksuri',2017-0406,2017253N14130,15,yes
USA,10.09.17,Hurricane 'Irma',2017-0381,2017242N16333,9,yes
BHS,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,2,yes
BRB,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,0,yes
CUB,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,2,yes
BLM,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,15,yes
MAF,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,15,yes
SXM,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,15,yes
TCA,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,2,yes
VGB,08.09.17,Hurricane 'Irma',2017-0381,2017242N16333,15,yes
HTI,07.09.17,Hurricane 'Irma',2017-0381,2017242N16333,2,yes
MEX,07.09.17,Hurricane Katia,2017-0392,2017249N22263,15,
