region,N_countries,N,def_v_half,def_RMSF,def_TDR,rmsf_v_half,rmsf_RMSF,rmsf_TDR,tdr_v_half,tdr_RMSF,tdr_TDR
NA1,21,73,74.7,11.839540564731898,0.6813632636438692,59.60000000000048,9.801200213092638,1.4374122400324063,66.30000000000058,10.28871844013015,1.000854437754669
NA2,2,43,74.7,9.492628377531894,2.1099109288825457,86.00000000000084,8.655953465928835,1.1551959416818314,89.20000000000091,8.701824413362221,0.9997616369550991
NI,6,31,74.7,7.765999291145154,0.8463118967031459,58.700000000000465,6.043638072262602,2.0326697948745283,70.80000000000064,7.155983307096696,1.002633778876918
OC,11,48,74.7,22.548374805692966,0.6027595817186334,49.700000000000344,14.722340207002066,2.306012888294151,64.10000000000055,17.70769927770877,0.999561833335082
SI,2,19,74.7,20.091359958613516,0.19604728598053803,46.800000000000296,8.5569360469622,1.8016616160538417,52.40000000000038,9.139964347214322,1.0033424247163776
WP1,4,43,74.7,15.191009195088364,0.6191141669509547,56.700000000000436,11.286796984296855,2.05279653875568,66.40000000000057,12.634332632085869,0.9984269404391308
WP2,1,83,74.7,38.192556847818906,25.892272579420066,84.70000000000084,36.674233620262314,16.440787052246613,188.4000000000024,104.89431766627575,0.9999045612501578
WP3,1,69,74.7,15.154195986325274,5.319793635734199,80.20000000000076,14.82851644778313,3.8280946108835097,112.80000000000123,20.47486255905617,1.001314159098426
WP4,5,64,74.7,73.80946413194776,35.55507137058113,135.60000000000156,35.92155570889689,3.347318006321848,190.50000000000242,43.81000533836245,1.0005004196388154
GLB_combined,,,74.7,22.19043777769065,4.689456310695551,,16.816363302379344,2.1531947581654327,,24.37828431999158,1.0003601461788736
GLB,53,473,74.7,22.19043777769065,4.689456310695551,73.40000000000067,22.186155029220686,4.844490625197398,110.1000000000012,33.10026125969718,0.9990852506109829
