country_id,alpha3,name,cal,region,SIDS,AAD_emdat,PC_gar13,AAD_gar13,AAD/PC gar13 [permil],PC_2014,AAD_def,AAD_rmsf,AAD_tdr,AAD/PC def [permil],AAD/PC rmsf [permil],AAD/PC tdr [permil]
533,ABW,Aruba,no,NA1,yes,0,6526,11.0,1.7,3304.8376089999997,0,0,0,0.0,0.0,0.0
4,AFG,Afghanistan,no,NI,no,0,16132,,,25549.568117,0,0,0,0.0,0.0,0.0
24,AGO,Angola,no,ROW,no,0,25225,,,136000.0,0,0,0,0.0,0.0,0.0
660,AIA,Anguilla,no,NA1,yes,5.320131578947369,20,0.0,15.0,218.765896,0,0,0,0.0,0.0,0.0
8,ALB,Albania,no,ROW,no,0,13964,,,43889.459246,0,0,0,0.0,0.0,0.0
20,AND,Andorra,no,ROW,,0,,,,4179.1724269999995,0,0,0,0.0,0.0,0.0
784,ARE,United Arab Emirates,no,NI,no,0,248015,2.0,0.0,921000.0,0,0,0,0.0,0.0,0.0
32,ARG,Argentina,no,NA1,no,0,403909,,,1310000.0,0,0,0,0.0,0.0,0.0
51,ARM,Armenia,no,NI,no,0,14187,,,37457.691554,0,0,0,0.0,0.0,0.0
16,ASM,American Samoa,no,OC,,5.113975623336064,,,,801.97532,2.2419591031327197,12.1138853543048,4.278131806805505,2.7955462558781976,15.105060033898301,5.334493094881655
28,ATG,Antigua and Barbuda,yes,NA1,yes,36.415536953445645,2428,12.0,4.9,1095.937306,9.130134161822518,23.40663425323026,15.034148426076433,8.330890929469389,21.357639825822535,13.71807341876948
36,AUS,Australia,yes,OC,no,429.8723915641891,1832960,84.0,0.1,5890000.0,184.9343839179168,1049.7536498848754,347.51824676518896,0.03139802782986703,0.17822642612646442,0.05900140012991324
40,AUT,Austria,no,ROW,no,0,615592,,,1770000.0,0,0,0,0.0,0.0,0.0
31,AZE,Azerbaijan,no,NI,no,0,45197,,,154000.0,0,0,0,0.0,0.0,0.0
108,BDI,Burundi,no,ROW,no,0,168,,,4239.83007,0,0,0,0.0,0.0,0.0
56,BEL,Belgium,no,ROW,no,0,739159,,,1920000.0,0,0,0,0.0,0.0,0.0
204,BEN,Benin,no,ROW,no,0,3585,,,11138.792866,0,0,0,0.0,0.0,0.0
854,BFA,Burkina Faso,no,ROW,no,0,3120,,,24879.607571,0,0,0,0.0,0.0,0.0
