Dep,source,target,single_link,access_cnstr,type_I,type_II,thresh_func,thresh_dist
1,power_line,celltower,TRUE,FALSE,functional,physical,0.6,
2,power_line,education,TRUE,FALSE,functional,physical,0.6,
3,wastewater,education,TRUE,FALSE,functional,logical,1,
4,power_line,health,TRUE,FALSE,functional,physical,0.6,
5,wastewater,health,TRUE,FALSE,functional,logical,1,
6,power_line,wastewater,TRUE,FALSE,functional,physical,0.6,
7,celltower,people,FALSE,FALSE,enduser,logical,1,40000
8,education,people,TRUE,TRUE,enduser,logical,1,40000
9,health,people,FALSE,TRUE,enduser,logical,1,100000
10,power_line,people,TRUE,FALSE,enduser,physical,0.6,
11,road,people,FALSE,FALSE,enduser,logical,1,30000
12,wastewater,people,TRUE,FALSE,enduser,logical,1,
