,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,2404984048.3999195,2404928209.4247727,2404392495.085341,2404983570.8163476,2404961662.0079036,2404983430.352114,2404716093.5061803,2404738988.769505,2404480820.3920474,2404984006.08885,2404983930.596003
1,2245654884.043375,2245583712.462491,2244900698.1659913,2245654275.339546,2245626351.1556306,2245654096.310889,2245313315.5778146,2245342504.297509,2245013333.3270335,2245654830.115842,2245654733.8964987
2,172233.70665029172,172233.5769526124,172232.331937016,172233.70554106467,172233.6546549345,172233.70521482476,172233.08414050294,172233.137343111,172232.53729388458,172233.70655202083,172233.70637668256
3,342640.992333723,342638.3342679107,342612.8222585607,342640.9696005568,342639.9267153779,342640.9629144008,342628.2350888939,342629.3253167316,342617.02982488705,342640.9903197001,342640.9867262116
4,29335218755.447006,29333129744.924076,29313093968.31071,29335200887.93184,29334381237.133842,29335195632.83877,29325195255.2467,29326051602.586845,29316396564.926178,29335217172.490887,29335214348.126976
5,2172323284.2421083,2172253650.4489074,2171585538.7055707,2172322688.6778235,2172295367.5020385,2172322513.5137362,2171989122.514414,2172017675.705087,2171695698.8596363,2172323231.4786515,2172323137.3362975
6,13648127.36105041,13647955.321103895,13646309.266822504,13648125.889241183,13648058.377965985,13648125.456362031,13647302.595347192,13647372.987664863,13646580.099046702,13648127.230656585,13648126.998003628
7,27936.195882747805,27926.340971564114,27834.36733254471,27936.111372028357,27932.23864692995,27936.08651693811,27889.37612089277,27893.330669791518,27849.22059715651,27936.188395443885,27936.17503641707
8,2158386101.329165,2157939100.5802603,2153661292.5905056,2158382277.299427,2158206869.1457515,2158381152.5998974,2156242989.6747236,2156425917.6853547,2154365258.6281314,2158385762.5422106,2158385158.0673137
9,74356456.76752926,74354120.19693142,74331772.80065976,74356436.77734709,74355519.84936705,74356430.89796442,74345256.70710088,74346212.46047065,74335448.64158152,74356454.99651374,74356451.83660963
10,2463838.92804882,2463800.615186052,2463433.2759375926,2463838.600344914,2463823.567510653,2463838.5039625186,2463655.1168667283,2463670.818440557,2463493.8113366365,2463838.8990161857,2463838.84721518
11,15318.30141961304,15317.45616312687,15309.36425903931,15318.294188794269,15317.96250696894,15318.292062110648,15314.248399876642,15314.594399850086,15310.696226537812,15318.300779004414,15318.299636009218
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,221641.90018975298,221640.2381770206,221624.28924039257,221641.88597510083,221641.23388186857,221641.88179436498,221633.92398786356,221634.60557702396,221626.91924672388,221641.8989304194,221641.89668347358
15,674925.0975766331,674904.4116758198,674706.6514778932,674924.9205944845,674916.8027451067,674924.8685416663,674825.9573105945,674834.4159285079,674739.1698992887,674925.0818970246,674925.053920954
16,2156165336.732237,2156133779.3989882,2155830872.62481,2156165066.8391824,2156152685.449177,2156164987.459689,2156013875.27733,2156026819.4656925,2155880832.091271,2156165312.8213234,2156165270.158654
17,6649517.021014564,6649105.198748389,6645167.704303144,6649513.497625905,6649351.885547275,6649512.461350038,6647543.226717776,6647711.63761455,6645815.212118695,6649516.708862459,6649516.1519104475
18,1843411.8077020696,1843154.8043984056,1840725.9840944586,1843409.606407308,1843308.6826438669,1843408.958985151,1842185.2534301837,1842289.3985440668,1841121.9670230122,1843411.6126782002,1843411.2647110582
19,74784.42486129509,74783.97652572035,74779.67759692075,74784.42102654654,74784.24511372673,74784.41989869215,74782.27384816694,74782.45759871791,74780.38607684383,74784.424521559,74784.42391539038
20,1076889998.0608728,1076888394.8816671,1076873004.788464,1076889984.349884,1076889355.3531826,1076889980.3172812,1076882303.178402,1076882960.82957,1076875543.3533316,1076889996.8461607,1076889994.6788309
21,4224895.206125356,4224879.043241151,4224724.003931628,4224895.067884273,4224888.7262095455,4224895.027225576,4224817.649662692,4224824.275979833,4224749.562431434,4224895.193878015,4224895.172025895
22,4066315.7552882694,4066295.0067599462,4066095.957625405,4066315.577828113,4066307.4369810545,4066315.525634517,4066216.190810072,4066224.6978681833,4066128.774067671,4066315.739566352,4066315.7115147742
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,781805561.6708933,781789932.0619463,781639936.3800912,781805427.996928,781799295.722648,781805388.681468,781730551.189829,781736961.2531854,781664672.3286449,781805549.8281763,781805528.6979971
